Tools	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781470	1	OK	0.0003345	0.7347977	-0.6782217	0.0093537	-43.364	-67.208	-140.233	0.0362312	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781470	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781478	1	OK	0.0003292	0.7347969	-0.6782224	0.0093709	-43.363	-67.208	-140.233	0.0363457	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781478	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781486	1	OK	0.0003410	0.7347974	-0.6782218	0.0093718	-43.363	-67.208	-140.232	0.0363136	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781486	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781494	1	OK	0.0003429	0.7347983	-0.6782208	0.0093755	-43.363	-67.208	-140.232	0.0363026	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781494	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781502	1	OK	0.0003393	0.7347948	-0.6782244	0.0093911	-43.360	-67.210	-140.230	0.0364346	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781502	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781510	1	OK	0.0003343	0.7347982	-0.6782206	0.0093977	-43.359	-67.212	-140.229	0.0364000	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781510	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781518	1	OK	0.0003466	0.7347998	-0.6782188	0.0094050	-43.359	-67.215	-140.228	0.0364869	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781518	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781526	1	OK	0.0003332	0.7348011	-0.6782172	0.0094217	-43.359	-67.215	-140.228	0.0365191	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781526	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781534	1	OK	0.0003338	0.7347996	-0.6782186	0.0094321	-43.357	-67.213	-140.229	0.0365193	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781534	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781542	1	OK	0.0003259	0.7347990	-0.6782189	0.0094600	-43.355	-67.215	-140.227	0.0367128	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781542	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781550	1	OK	0.0003218	0.7347973	-0.6782206	0.0094710	-43.353	-67.215	-140.226	0.0367885	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781550	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0	781558	1	OK	0.0003233	0.7347930	-0.6782252	0.0094702	-43.352	-67.215	-140.225	0.0368169	0	Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0	781558	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
