Tools,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457758,1,OK,0.0048872,-0.6861999,0.7268016,0.0294145,-112.099,56.404,-142.846,0.0328247,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457758,1,OK,-0.1028344,0.5336389,-0.7175918,0.4355648,-76.411,-14.552,46.879,0.0835464,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457766,1,OK,0.0048480,-0.6862006,0.7268011,0.0294178,-112.099,56.400,-142.847,0.0328290,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457766,1,OK,-0.1073130,0.5349806,-0.7171403,0.4335776,-77.166,-14.127,46.991,0.0810103,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457774,1,OK,0.0048680,-0.6862092,0.7267936,0.0293994,-112.104,56.399,-142.853,0.0330606,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457774,1,OK,-0.1068463,0.5366788,-0.7152594,0.4346996,-77.729,-13.600,47.186,0.0824028,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457782,1,OK,0.0048882,-0.6862100,0.7267939,0.0293699,-112.104,56.397,-142.854,0.0332082,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457782,1,OK,-0.1071158,0.5382993,-0.7141117,0.4345165,-78.278,-13.281,47.327,0.0856893,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457790,1,OK,0.0048868,-0.6862156,0.7267877,0.0293902,-112.102,56.396,-142.852,0.0329217,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457790,1,OK,-0.1083309,0.5384534,-0.7142982,0.4337170,-78.775,-13.001,47.401,0.0864175,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457798,1,OK,0.0049028,-0.6862153,0.7267881,0.0293873,-112.101,56.396,-142.852,0.0329194,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457798,1,OK,-0.1079964,0.5399267,-0.7126905,0.4346126,-79.328,-12.967,47.533,0.0899513,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457806,1,OK,0.0049232,-0.6862048,0.7267976,0.0293941,-112.102,56.397,-142.853,0.0327628,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457806,1,OK,-0.1056857,0.5389494,-0.7120992,0.4373543,-79.747,-13.165,47.617,0.0897263,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457814,1,OK,0.0049320,-0.6862004,0.7268007,0.0294167,-112.099,56.397,-142.850,0.0324429,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457814,1,OK,-0.1017702,0.5395715,-0.7112018,0.4389732,-80.271,-13.579,47.414,0.0915757,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457822,1,OK,0.0049511,-0.6862078,0.7267935,0.0294198,-112.098,56.395,-142.851,0.0322414,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457822,1,OK,-0.0995495,0.5389665,-0.7126773,0.4378312,-80.991,-14.178,46.925,0.0920355,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457830,1,OK,0.0049517,-0.6862040,0.7267960,0.0294454,-112.095,56.395,-142.847,0.0318840,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457830,1,OK,-0.0962734,0.5379959,-0.7140507,0.4375196,-81.768,-14.763,46.415,0.0916780,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457838,1,OK,0.0049555,-0.6862008,0.7267983,0.0294636,-112.096,56.393,-142.848,0.0316718,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457838,1,OK,-0.0932452,0.5368249,-0.7150155,0.4380379,-82.771,-15.455,45.998,0.0929242,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457846,1,OK,0.0049779,-0.6861912,0.7268068,0.0294744,-112.095,56.394,-142.846,0.0314914,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457846,1,OK,-0.0869319,0.5384771,-0.7140203,0.4389308,-83.889,-15.946,45.400,0.0961697,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457854,1,OK,0.0049853,-0.6861902,0.7268072,0.0294868,-112.092,56.393,-142.842,0.0314158,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457854,1,OK,-0.0843541,0.5379427,-0.7151984,0.4381704,-85.210,-16.293,44.710,0.0945210,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457862,1,OK,0.0049900,-0.6861863,0.7268097,0.0295136,-112.091,56.393,-142.839,0.0311040,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457862,1,OK,-0.0812039,0.5386617,-0.7148210,0.4384980,-86.472,-16.460,44.208,0.0938723,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457870,1,OK,0.0049733,-0.6861845,0.7268104,0.0295411,-112.092,56.390,-142.839,0.0307547,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457870,1,OK,-0.0794311,0.5400372,-0.7130700,0.4399793,-87.666,-16.587,43.986,0.0896566,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457878,1,OK,0.0049758,-0.6861922,0.7268024,0.0295588,-112.091,56.386,-142.842,0.0304934,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457878,1,OK,-0.0775900,0.5397971,-0.7122036,0.4420009,-88.684,-16.804,43.804,0.0892320,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457886,1,OK,0.0049834,-0.6861942,0.7267999,0.0295752,-112.090,56.386,-142.839,0.0304757,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457886,1,OK,-0.0750435,0.5396654,-0.7112136,0.4441901,-89.553,-17.369,43.571,0.0916917,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457894,1,OK,0.0049845,-0.6861914,0.7268020,0.0295870,-112.089,56.385,-142.836,0.0303478,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457894,1,OK,-0.0731027,0.5382755,-0.7105748,0.4472124,-90.198,-17.893,43.469,0.0842302,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457902,1,OK,0.0049783,-0.6861852,0.7268067,0.0296169,-112.089,56.386,-142.836,0.0300203,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457902,1,OK,-0.0743339,0.5378934,-0.7088144,0.4502525,-90.816,-18.223,43.422,0.0836273,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457910,1,OK,0.0049842,-0.6861890,0.7268029,0.0296183,-112.089,56.382,-142.838,0.0300524,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457910,1,OK,-0.0763542,0.5377966,-0.7066827,0.4533701,-91.236,-18.170,43.375,0.0865063,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457918,1,OK,0.0050020,-0.6861841,0.7268072,0.0296235,-112.087,56.384,-142.836,0.0299716,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457918,1,OK,-0.0830474,0.5348148,-0.7072631,0.4548133,-91.513,-17.986,43.252,0.0812738,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457926,1,OK,0.0050016,-0.6861837,0.7268070,0.0296383,-112.088,56.386,-142.837,0.0298161,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457926,1,OK,-0.0874160,0.5344730,-0.7066479,0.4553523,-91.643,-17.517,42.960,0.0777391,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457934,1,OK,0.0050011,-0.6861804,0.7268101,0.0296411,-112.088,56.385,-142.841,0.0295972,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457934,1,OK,-0.0927911,0.5356187,-0.7059570,0.4540123,-91.983,-17.023,42.437,0.0778860,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457942,1,OK,0.0050111,-0.6861835,0.7268076,0.0296279,-112.089,56.386,-142.844,0.0298023,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457942,1,OK,-0.0949577,0.5378709,-0.7046300,0.4529619,-92.397,-16.419,41.743,0.0774699,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457950,1,OK,0.0050219,-0.6861770,0.7268134,0.0296340,-112.090,56.391,-142.845,0.0298354,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457950,1,OK,-0.0946928,0.5413997,-0.7021487,0.4526663,-92.978,-15.849,40.916,0.0777408,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457958,1,OK,0.0050280,-0.6861715,0.7268189,0.0296260,-112.091,56.393,-142.846,0.0298395,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457958,1,OK,-0.0900153,0.5460617,-0.6978562,0.4546543,-93.598,-15.580,40.008,0.0765717,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457966,1,OK,0.0050135,-0.6861731,0.7268175,0.0296265,-112.093,56.393,-142.851,0.0296277,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457966,1,OK,-0.0833684,0.5495872,-0.6933707,0.4585202,-94.074,-15.655,39.144,0.0768814,0
