Tools,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495254,1,OK,0.0003457,0.7337067,-0.6793979,0.0096322,-43.357,-67.060,-140.294,0.0367039,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495254,1,OK,0.3495226,-0.6855207,0.4791457,-0.4222732,-243.246,31.667,-5.842,0.0906385,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495262,1,OK,0.0003477,0.7337049,-0.6793997,0.0096473,-43.357,-67.063,-140.291,0.0367421,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495262,1,OK,0.3445752,-0.6858207,0.4760650,-0.4292784,-241.356,31.260,-4.382,0.0965880,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495270,1,OK,0.0003562,0.7337058,-0.6793988,0.0096430,-43.358,-67.062,-140.290,0.0365620,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495270,1,OK,0.3431209,-0.6822349,0.4782015,-0.4337590,-239.489,30.836,-2.990,0.0907802,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495278,1,OK,0.0003589,0.7337095,-0.6793947,0.0096486,-43.358,-67.063,-140.289,0.0365373,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495278,1,OK,0.3392076,-0.6826371,0.4748652,-0.4398271,-237.694,30.554,-1.577,0.0974449,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495286,1,OK,0.0003511,0.7337094,-0.6793946,0.0096623,-43.358,-67.062,-140.289,0.0365854,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495286,1,OK,0.3349976,-0.6819749,0.4732314,-0.4458014,-235.841,30.253,-0.215,0.0988647,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495294,1,OK,0.0003588,0.7337100,-0.6793940,0.0096589,-43.359,-67.062,-140.290,0.0365606,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495294,1,OK,0.3294081,-0.6830553,0.4682038,-0.4535537,-234.121,29.862,1.226,0.1011835,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495302,1,OK,0.0003634,0.7337076,-0.6793965,0.0096626,-43.361,-67.062,-140.289,0.0366530,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495302,1,OK,0.3205528,-0.6849821,0.4611766,-0.4640706,-232.346,29.472,2.775,0.1037657,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495310,1,OK,0.0003616,0.7337094,-0.6793944,0.0096776,-43.360,-67.064,-140.288,0.0365929,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495310,1,OK,0.3137309,-0.6868383,0.4535518,-0.4734098,-230.894,29.120,4.204,0.1062758,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495318,1,OK,0.0003614,0.7337100,-0.6793937,0.0096801,-43.362,-67.065,-140.287,0.0366446,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495318,1,OK,0.3072263,-0.6887909,0.4471216,-0.4808964,-229.509,28.824,5.341,0.1099302,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495326,1,OK,0.0003557,0.7337097,-0.6793940,0.0096838,-43.361,-67.062,-140.288,0.0366444,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495326,1,OK,0.3043054,-0.6872110,0.4485857,-0.4836426,-227.982,28.600,6.197,0.1126594,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495334,1,OK,0.0003561,0.7337075,-0.6793963,0.0096882,-43.360,-67.062,-140.289,0.0366644,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495334,1,OK,0.3127536,-0.6792605,0.4576665,-0.4809696,-226.870,28.211,6.743,0.1050029,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495342,1,OK,0.0003511,0.7337107,-0.6793928,0.0096888,-43.360,-67.061,-140.290,0.0365901,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495342,1,OK,0.3112606,-0.6781464,0.4589685,-0.4822678,-225.358,28.085,7.294,0.1091500,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495350,1,OK,0.0003609,0.7337095,-0.6793940,0.0096944,-43.360,-67.063,-140.289,0.0366804,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495350,1,OK,0.3108957,-0.6760622,0.4603546,-0.4841047,-223.804,27.720,7.841,0.1110058,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495358,1,OK,0.0003618,0.7337101,-0.6793933,0.0097029,-43.360,-67.064,-140.289,0.0367562,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495358,1,OK,0.3089887,-0.6748043,0.4618545,-0.4856497,-222.115,27.598,8.325,0.1146034,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495366,1,OK,0.0003755,0.7337062,-0.6793975,0.0097029,-43.360,-67.064,-140.290,0.0366665,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495366,1,OK,0.3116410,-0.6728501,0.4650628,-0.4836003,-220.687,27.736,8.836,0.1143466,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495374,1,OK,0.0003773,0.7337062,-0.6793974,0.0097114,-43.360,-67.064,-140.290,0.0366900,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495374,1,OK,0.3161540,-0.6697175,0.4696057,-0.4806200,-219.302,28.259,9.541,0.1103886,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495382,1,OK,0.0003827,0.7337010,-0.6794030,0.0097129,-43.360,-67.065,-140.289,0.0368089,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495382,1,OK,0.3185317,-0.6680284,0.4708507,-0.4801824,-217.761,28.963,10.577,0.1120981,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495390,1,OK,0.0003872,0.7337004,-0.6794036,0.0097141,-43.361,-67.065,-140.289,0.0368637,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495390,1,OK,0.3192356,-0.6671954,0.4712457,-0.4804856,-216.103,29.728,11.640,0.1138255,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495398,1,OK,0.0003925,0.7336987,-0.6794053,0.0097216,-43.361,-67.065,-140.289,0.0369512,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495398,1,OK,0.3225680,-0.6653952,0.4741105,-0.4779313,-214.528,30.526,12.385,0.1117071,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495406,1,OK,0.0004090,0.7336944,-0.6794100,0.0097208,-43.362,-67.066,-140.288,0.0368895,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495406,1,OK,0.3253540,-0.6638824,0.4762538,-0.4760119,-212.835,31.226,13.162,0.1116927,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495414,1,OK,0.0004157,0.7336929,-0.6794114,0.0097304,-43.362,-67.067,-140.288,0.0369168,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495414,1,OK,0.3251133,-0.6628453,0.4771256,-0.4767479,-210.907,31.834,14.081,0.1155830,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495422,1,OK,0.0004219,0.7336897,-0.6794147,0.0097406,-43.361,-67.068,-140.288,0.0370658,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495422,1,OK,0.3249702,-0.6621668,0.4778608,-0.4770519,-209.041,32.423,14.904,0.1151713,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495430,1,OK,0.0004187,0.7336917,-0.6794124,0.0097506,-43.361,-67.070,-140.288,0.0370329,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495430,1,OK,0.3251776,-0.6618595,0.4784679,-0.4767285,-207.303,33.117,15.577,0.1158377,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495438,1,OK,0.0004313,0.7336890,-0.6794154,0.0097479,-43.362,-67.069,-140.289,0.0369889,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495438,1,OK,0.3265211,-0.6610234,0.4793129,-0.4761210,-205.601,33.778,16.328,0.1142750,0
